parcel_address,stop_name,distance
1348 COTTMAN AVE,Whitaker Av & Cottman Av - FS,0.00
1059 VAN KIRK ST,Oxford Av & Summerdale Av,0.00
9451 ACADEMY RD,Academy Rd & Grant Av,0.00
3349 KAYFORD CIR,Morrell Av & Kayford Circle - 2,0.00
3400 CHALFONT DR,Academy Rd & Chalfont Dr,0.00
3818 MECHANICSVILLE RD,Mechanicsville Rd & Knights Rd,0.00
4301 BYBERRY RD,Philadelphia Mills & Marshalls,0.00
3401 CHALFONT DR,Academy Rd & Chalfont Dr,0.00
10200 E KESWICK RD,Keswick Rd & Morrell Av,0.00
9430 ACADEMY RD,Academy Rd & Grant Av - FS,0.00
6301 MARKET ST,69th St Transportation Center - MFL EB,0.00
100 S 60TH ST,Chestnut St & 60th St,0.00
100-02 S 52ND ST,Chestnut St & 52nd St,0.00
4000 CHESTNUT ST,Chestnut St & 40th St,0.00
138-40 MARKET ST,2nd St,0.00
150 S 30TH ST,Walnut St & 30th St - FS,0.00
3935 WALNUT ST,Walnut St & 40th St,0.00
141 S 52ND ST,Walnut St & 52nd St,0.00
157 S 60TH ST,Walnut St & 60th St,0.00
155 S 61ST ST,Walnut St & 61st St,0.00
400-10 S 61ST ST,61st St & Pine St Loop,0.00
2800 W CHELTENHAM AVE,Limekiln Pk & Greenwood Av - FS,0.01
1630-36 WADSWORTH AVE,Cheltenham Av & Easton Rd,0.00
1631 E GOWEN AVE,Easton Rd & Keswick Av,0.03
1631 E GOWEN AVE,Easton Rd & Edgehill Rd,0.05
104 ALNUS PL,York Rd & Byberry Rd - FS,0.09
1631 E GOWEN AVE,Easton Rd & Edgehill Rd,0.05
1631 E GOWEN AVE,Easton Rd & Keswick Av,0.03
7941 OXFORD AVE,Oxford Av & Loney St,0.00
8111 OXFORD AVE,Fox Chase Rd & Forrest Av - MBNS,0.02
9620 PINE RD,Old Welsh Rd Gloria Dei Towers,0.02
100 COUNTY LINE RD,Knowles Av & 2nd St Pk,0.04
7950 OXFORD AVE,Oxford Av & Loney St - FS,0.00
7370 CENTRAL AVE,Central Av & Cottman Av - MBNS,0.00
5801 TABOR AVE,Martins Mill Rd & Oxford Av - FS,0.00
100-06 E GIRARD AVE,Frankford Av & Girard Av,0.00
2600 ARAMINGO AVE,Cedar St & Lehigh Av,0.00
3699 ARAMINGO AVE,Aramingo Av & Castor Av,0.00
4391 RICHMOND ST,Richmond St & Orthodox St,0.00
2102 BRIDGE ST,Torresdale Av & Bridge St,0.00
5136 TORRESDALE AVE,Bridge St & Torresdale Av,0.00
4396 RICHMOND ST,Orthodox St & Richmond St,0.00
3680-98 ARAMINGO AVE,Aramingo Av & Castor Av - FS,0.00
2161 E LEHIGH AVE,Lehigh Av & Cedar St - FS,0.00
1 W GIRARD AVE,Frankford Av & Girard Av,0.00
315 W CHELTEN AVE,Chelten Av & Morris St - MBNS,0.00
746 E CHELTEN AVE,Chelten Av & Chew Av,0.00
700 LEVICK ST,Tabor Av & Levick St,0.00
1001 DEVEREAUX AVE,Robbins St & Langdon St,0.00
2099 BRIDGE ST,Torresdale Av & Bridge St,0.00
6600 BUSTLETON AVE,Bustleton Av & Magee Av,0.00
644 LEVICK ST,Tabor Av & Levick St - FS,0.00
950 NORTHWESTERN AVE,Germantown Pk & Church Rd - MBNS,0.01
8200 HENRY AVE,Port Royal Av & Henry Av,0.00
668 SUMMIT AVE,Henry Av & Summit Av,0.00
1501-39 MARKET ST,15th St & Market St,0.00
4400 CHESTNUT ST,Chestnut St & 44th St,0.00
681 SUMMIT AVE,Henry Av & Summit Av,0.00
8201 HENRY AVE,Henry Av & Port Royal Av,0.00
900 NORTHWESTERN AVE,Ridge Pk & Church Rd,0.01
7220 TORRESDALE AVE,Torresdale Av & Cottman Av Loop,0.00
4601 RHAWN ST,Rhawn St & Torresdale Av - FS,0.00
2601 RHAWN ST,Rhawn St & Roosevelt Blvd,0.00
8001 CASTOR AVE,Rhawn St & Castor Av,0.00
401 RHAWN ST,Rhawn St & Oxford Av,0.00
1200 W CHELTENHAM AVE,Montgomery Av & Harrison Av,0.01
8111 OXFORD AVE,Forrest Av & Fox Chase Rd ,0.02
7972 CASTOR AVE,Rhawn St & Castor Av,0.00
7958 E ROOSEVELT BLVD,Rhawn St & Roosevelt Blvd,0.00
4624 RHAWN ST,Rhawn St & Torresdale Av,0.00
1500 S 33RD ST,33rd St & Dickinson St Loop,0.00
1700 S 20TH ST,Morris St & 20th St,0.00
1700 S BROAD ST,Morris St & Broad St,0.00
700 MORRIS ST,Morris St & 7th St,0.00
1600 S FRONT ST,Front St & Tasker St,0.00
1534 S FRONT ST,Tasker St & Front St,0.00
1547 S 7TH ST,Tasker St & 7th St,0.00
1541 S BROAD ST,Tasker St & Broad St,0.00
1529-41 S 22ND ST,Tasker St & 22nd St,0.00
7400 LANSDOWNE AVE,Lansdowne Av & Haverford Av,0.00
230 N 65TH ST,Vine St & 65th St,0.00
252 N 59TH ST,Vine St & 59th St,0.00
260 N 52ND ST,Haverford Av & 52nd St,0.00
3940 BALTIMORE AVE,Woodland Av & 40th St,0.00
5201-15 HAVERFORD AVE,Haverford Av & 52nd St,0.00
5839-61 HAVERFORD AVE,Haverford Av & 59th St,0.00
6451 HAVERFORD AVE,Haverford Av & 65th St,0.00
6801 HAVERFORD AVE,Lansdowne Av & Haverford Av,0.00
7600-98 CITY AVE,76th St & City Av - FS,0.00
600 N 63RD ST,63rd St & Master St,0.00
4098 LANCASTER AVE,41st St & Lancaster Av,0.00
3201-47 MARKET ST,Market St & 33rd St,0.00
701 N 40TH ST,Fairmount Av & 40th St,0.00
4601 MARKET ST,46th St & Market St,0.00
559 N 63RD ST,63rd St & Haverford Av,0.00
1601 N 33RD ST,33rd St & Oxford St,0.00
3301 W GIRARD AVE,33rd St & Girard Av,0.00
2640 POPLAR ST,27th St & Poplar St,0.00
3301 W GIRARD AVE,Poplar Dr & Girard Av,0.00
1541 N 33RD ST,33rd St & Oxford St,0.00
2948 W ALLEGHENY AVE,30th St & Allegheny Av,0.00
2201 W LEHIGH AVE,22nd St & Lehigh Av,0.00
4300-22 CHESTNUT ST,Chestnut St & 43rd St,0.00
4204 CHESTNUT ST,Chestnut St & 42nd St,0.00
4100 CHESTNUT ST,Chestnut St & 41st St,0.00
1 S CHRISTOPHER COLUMBUS BLVD,Penn's Landing - 1,0.00
1901-45 W GIRARD AVE,20th St & Girard Av - MBFS,0.00
2100-50 W LEHIGH AVE,22nd St & Lehigh Av,0.00
3153 N 22ND ST,22nd St & Allegheny Av,0.00
3900-06 CHESTNUT ST,Chestnut St & 39th St,0.00
6035-45 BALTIMORE AVE,61st-Baltimore,0.00
4902 BALTIMORE AVE,Baltimore Av & 49th St,0.00
4839 BALTIMORE AVE,Baltimore Av & 49th St,0.00
6437 RIDGE AVE,Ridge Av & Fountain St,0.00
3000 ISLAND AVE,Island Av & Suffolk Av - MBNS,0.00
7235 ELMWOOD AVE,Elmwood Av & 73rd St,0.00
2325 ISLAND AVE,Elmwood Loop,0.00
3000 ISLAND AVE,80th St/Eastwick,0.00
2037 S BROAD ST,Snyder Av & Broad St,0.00
7601-51 LINDBERGH BLVD,Lindbergh Blvd & Island Av,0.00
8800 TINICUM BLVD,PNC Center,0.00
9177 LINDBERGH BLVD,International Plaza,0.00
3800-02 CHESTNUT ST,Chestnut St & 38th St,0.00
3700 CHESTNUT ST,Chestnut St & 37th St,0.00
9177 LINDBERGH BLVD,Industrial Hwy & Wanamaker Av - FS,0.04
2900 ISLAND AVE,Lindbergh Blvd & Island Av,0.00
2226 S 20TH ST,Passyunk Av & 20th St,0.00
2100 S BROAD ST,Snyder Av & Broad St ,0.00
8500 ESSINGTON AVE,Philadelphia Airport Terminals E & F,0.00
4000 PRESIDENTIAL BLVD,Presidential Blvd & Winding Dr - FS,0.00
4000-18 PARKSIDE AVE,Parkside Av & 40th St,0.00
720 N 34TH ST,Mantua Av & 34th St,0.00
101 N INDEPENDENCE MALL E,5th St & Market St - FS,0.00
2500 SPRING GARDEN ST,Art Museum Dr & Back Entrance - 2,0.00
3404 MANTUA AVE,Mantua Av & 34th St - FS,0.00
3962 W GIRARD AVE,40th St & Girard Av,0.00
3600 NEILL DR,Neill Dr & Winding Dr,0.00
3250 RIDGE AVE,33rd St & Dauphin St Loop,0.00
2262 N BROAD ST,Dauphin St & Broad St ,0.00
2262 N 7TH ST,Dauphin St & 7th St,0.00
2225 RICHMOND ST,Richmond St & Cumberland St,0.00
2801 RICHMOND ST,Richmond St & Cumberland St,0.00
2200-04 N FRONT ST,Susquehanna Av & Hope St,0.00
2201-03 1/2 N BROAD ST,Susquehanna Av & Broad St,0.00
2401 N 33RD ST,York St & 33rd St,0.00
4160A MONUMENT RD,Conshohocken Av & Monument Rd,0.00
2200 SOUTH ST,South St & 22nd St,0.00
600 S BROAD ST,South St & Broad St,0.00
425-27 S BROAD ST,Lombard St & Broad St,0.00
2147 LOMBARD ST,Lombard St & 22nd St,0.00
400-10 S 61ST ST,61St & Pine St - FS,0.00
300 S 60TH ST,Spruce St & 60th St - FS,0.00
300 S 52ND ST,Spruce St & 52nd St,0.00
3940 SPRUCE ST,Spruce St & 40th St - FS,0.00
200 LOCUST ST,Spruce St & 2nd St,0.00
3907-15 SPRUCE ST,Spruce St & 40th St,0.00
283-85 S 52ND ST,Spruce St & 52nd St,0.00
277 S 60TH ST,Spruce St & 60th St,0.00
4700 JEFFERSON ST,Belmont Av & Girard Av,0.00
3300 SPRING GARDEN ST,Spring Garden St & 33rd St,0.00
501 N 22ND ST,Spring Garden St & 22nd St - FS,0.00
490 N BROAD ST,Spring Garden St & Broad St,0.00
1301 BEACH ST,Beach St & Columbia Av,0.00
2632 E YORK ST,York St & Thompson St,0.00
1301-25 N DELAWARE AVE,Columbia Av & Delaware Av,0.00
79-99 SPRING GARDEN ST,Spring Garden St & Front St,0.00
523-25 N BROAD ST,Spring Garden St & Broad St,0.00
2133-35 SPRING GARDEN ST,Spring Garden St & 22nd St ,0.00
601 N 33RD ST,Haverford Av & 33rd St,0.00
1048-50 N 42ND ST,Belmont Av & Girard Av,0.00
7340 CITY AVE,Coulter Av & Saint Georges Rd,0.04
6260 CITY AVE,Essex Av & Windsor Av,0.02
5600 CITY AVE,Montgomery Av & Haverford Av - FS,0.02
5008-16 CITY AVE,Bala Av & City Av,0.00
4000 CITY AVE,City Av & Presidential Blvd,0.00
4020 CITY AVE,City Av & Presidential Blv - FS,0.00
5600 CITY AVE,Montgomery Av & Haverford Av,0.02
6100 CITY AVE,Haverford Av & Forrest Av - FS,0.02
6001 LANSDOWNE AVE,60th St & Lansdowne Av,0.00
6001 CALLOWHILL ST,60th St & Callowhill St,0.00
6001 MARKET ST,60th St & Market St,0.00
284 S 60TH ST,60th St & Spruce St,0.00
301 S 60TH ST,60th St & Spruce St,0.00
5951 MARKET ST,60th St & Market St - FS,0.00
361-63 N 60TH ST,60th St & Callowhill St,0.00
4001-11 N AMERICAN ST,Luzerne St & 2nd St - FS,0.00
6225 N 5TH ST,Godfrey Loop - FS,0.00
4700 N 5TH ST,5th St & Wyoming Av,0.00
601-13 W ERIE AVE,6th St & Erie Av,0.00
2160 N 8TH ST,8th St & Susquehanna Av - FS,0.00
801 MARKET ST,8th St & Market St,0.00
801-21 WASHINGTON AVE,8th St & Washington Av,0.00
801 SNYDER AVE,8th St & Snyder Av,0.00
2655 S 7TH ST,Oregon Av & 7th St,0.00
646 SNYDER AVE,7th St & Snyder Av,0.00
644 WASHINGTON AVE,7th St & Washington Av,0.00
618-34 MARKET ST,7th St & Market St,0.00
606-22 SPRING GARDEN ST,7th St & Spring Garden St,0.00
630-38 W GIRARD AVE,7th St & Girard Av,0.00
630 W SUSQUEHANNA AVE,7th St & Susquehanna Av,0.00
3800 CITY AVE,Presidential Blvd & City Line Av,0.00
3651 N 5TH ST,5th St & Erie Av,0.00
4659 N 5TH ST,5th St & Wyoming Av ,0.00
6161 N 5TH ST,5th St & Godfrey Av,0.00
2300 N 29TH ST,29th St & Dauphin St,0.00
2901-03 RIDGE AVE,29th St & Ridge Av,0.00
2301 PENNSYLVANIA AVE,23rd St & Spring Garden St,0.00
2842 W GIRARD AVE,29th St & Girard Av,0.00
2251 N 29TH ST,29th St & Dauphin St,0.00
2600 W ALLEGHENY AVE,27th St & Allegheny Av,0.00
1201 MARKET ST,12th St & Market St,0.00
2844 S 10TH ST,10th St & Bigler St,0.00
668 N 52ND ST,52nd St & Girard Av - FS,0.00
