service_id,date,exception_type
65110,20240606,1
336010,20240606,1
341510,20240606,1
33610,20240607,1
34110,20240607,1
65010,20240607,1
336010,20240607,1
341510,20240607,1
33610,20240610,1
34010,20240610,1
65110,20240610,1
336110,20240610,1
341510,20240610,1
33610,20240611,1
34010,20240611,1
65110,20240611,1
336010,20240611,1
341610,20240611,1
33710,20240612,1
34010,20240612,1
65010,20240612,1
336010,20240612,1
341510,20240612,1
33610,20240613,1
34010,20240613,1
65110,20240613,1
336010,20240613,1
341510,20240613,1
33610,20240614,1
34110,20240614,1
65010,20240614,1
336010,20240614,1
341510,20240614,1
19,20240527,1
16,20240527,2
26,20240527,1
22,20240527,2
31,20240527,1
28,20240527,2
340640,20240226,1
340540,20240227,1
340540,20240228,1
340540,20240229,1
340540,20240301,1
340640,20240304,1
340540,20240305,1
340540,20240306,1
340540,20240307,1
340540,20240308,1
340640,20240311,1
340540,20240312,1
340540,20240313,1
340540,20240314,1
340540,20240315,1
340640,20240318,1
340540,20240319,1
340540,20240320,1
340540,20240321,1
340540,20240322,1
340640,20240325,1
340540,20240326,1
340540,20240327,1
340540,20240328,1
340540,20240329,1
340640,20240401,1
340540,20240402,1
340540,20240403,1
340540,20240404,1
340540,20240405,1
340640,20240408,1
340540,20240409,1
340540,20240410,1
340540,20240411,1
340540,20240412,1
340640,20240415,1
340540,20240416,1
340540,20240417,1
340540,20240418,1
340540,20240419,1
340640,20240422,1
340540,20240423,1
340540,20240424,1
340540,20240425,1
340540,20240426,1
340640,20240429,1
340540,20240430,1
340540,20240501,1
340540,20240502,1
340540,20240503,1
340640,20240506,1
340540,20240507,1
340540,20240508,1
340540,20240509,1
340540,20240510,1
340640,20240513,1
340540,20240514,1
340540,20240515,1
340540,20240516,1
340540,20240517,1
340640,20240520,1
340540,20240521,1
340540,20240522,1
340540,20240523,1
340540,20240524,1
43,20240527,1
40,20240527,2
340540,20240528,1
340540,20240529,1
340540,20240530,1
340540,20240531,1
340640,20240603,1
340540,20240604,1
340540,20240605,1
340540,20240606,1
340540,20240607,1
308749,20240225,1
308746,20240226,1
341046,20240226,1
308746,20240227,1
340946,20240227,1
308846,20240228,1
340946,20240228,1
308846,20240229,1
340946,20240229,1
308846,20240301,1
340946,20240301,1
308749,20240303,1
308746,20240304,1
341046,20240304,1
308746,20240305,1
340946,20240305,1
308846,20240306,1
340946,20240306,1
308846,20240307,1
340946,20240307,1
308846,20240308,1
340946,20240308,1
308749,20240310,1
308746,20240311,1
341046,20240311,1
308746,20240312,1
340946,20240312,1
308846,20240313,1
340946,20240313,1
308846,20240314,1
340946,20240314,1
308846,20240315,1
340946,20240315,1
308749,20240317,1
308846,20240318,1
340946,20240318,1
308846,20240319,1
340946,20240319,1
308846,20240320,1
340946,20240320,1
308846,20240321,1
340946,20240321,1
308846,20240322,1
340946,20240322,1
308849,20240324,1
308846,20240325,1
340946,20240325,1
308846,20240326,1
340946,20240326,1
308846,20240327,1
340946,20240327,1
308846,20240328,1
340946,20240328,1
308846,20240329,1
340946,20240329,1
308849,20240331,1
308846,20240401,1
340946,20240401,1
308846,20240402,1
340946,20240402,1
308846,20240403,1
340946,20240403,1
308846,20240404,1
340946,20240404,1
308846,20240405,1
340946,20240405,1
308849,20240407,1
308846,20240408,1
340946,20240408,1
308846,20240409,1
340946,20240409,1
308846,20240410,1
340946,20240410,1
308846,20240411,1
340946,20240411,1
308846,20240412,1
340946,20240412,1
308849,20240414,1
308846,20240415,1
340946,20240415,1
308846,20240416,1
340946,20240416,1
308846,20240417,1
340946,20240417,1
308846,20240418,1
340946,20240418,1
308846,20240419,1
340946,20240419,1
308849,20240421,1
308846,20240422,1
340946,20240422,1
308846,20240423,1
340946,20240423,1
308846,20240424,1
340946,20240424,1
308846,20240425,1
340946,20240425,1
308846,20240426,1
340946,20240426,1
308849,20240428,1
308846,20240429,1
340946,20240429,1
308846,20240430,1
340946,20240430,1
308846,20240501,1
340946,20240501,1
308846,20240502,1
340946,20240502,1
308846,20240503,1
