stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
28085,LEVMAGNO,Levittown Pkwy & Magnolia Dr,LEVITTOWN PKWY & MAGNOLIA DR,40.161011,-74.832588,1,,,,,1
28086,LEVHOLNW,Levittown Pkwy & Holly Turn,LEVITTOWN PKWY & HOLLY TURN,40.164478,-74.839027,1,,,,,1
28088,NEFLEVNE,Levittown Pkwy & New Falls Rd,LEVITTOWN PKWY & HOLLY TURN,40.16539,-74.841281,1,,,,,1
28089,NEFMAGNE,New Falls Rd & Magnolia Pass,NEW FALLS RD & MAGNOLIA PASS,40.168632,-74.837938,1,,,,,1
28090,NEWHOONE,New Falls Rd & Hood Blvd,NEW FALLS RD,40.171499,-74.834515,1,,,,,1
28093,HOOQUAWE,Hood Blvd & Queen Anne Dr,HOOD BLVD & S QUEEN ANNE DR,40.172712,-74.843709,1,,,,,1
28096,OLDHOOSW,Olds Blvd & Hood Blvd - FS,S OLDS BLVD & S QUEEN ANNE DR,40.172865,-74.847924,1,,,,,1
28097,LEVSPUNO,Levittown Pkwy & Spur Ln,LEVITTOWN PKWY & SPUR LN,40.147512,-74.8226,1,,,,,1
28101,OXFAUSNW,Oxford Valley Rd & Austin Dr,N OXFORD VALLEY RD & AUSTIN DR,40.178359,-74.866692,1,,,,,1
28102,OXFBUCNW,Oxford Valley Rd & S Bucks Town Rd - FS,OXFORD VALLEY RD & TOWN CENTER DR,40.183285,-74.87029,1,,,,,1
28104,OXFTRENW,Oxford Valley Rd & Trenton Rd,N OXFORD VALLEY RD & S OXFORD VALLEY RD,40.175497,-74.859382,1,,,,,1
28107,MIDTWCSW,Middletown Blvd & Town Center Dr,MIDDLETOWN BLVD & TOWN CENTER DR,40.186806,-74.881329,1,,,,,1
28109,LINLASSW,Lincoln Hwy & Highland Pk Rd - MBNS,E LINCOLN HWY & HIGHLAND PARK WAY,40.168781,-74.895266,1,,,,,1
28119,WOOHARSO,Woodbourne Rd & Harmony Rd,WOODBOURNE RD & HARMONY RD,40.170159,-74.879455,1,,,,,1
28121,WOOTRESO,Woodbourne Rd & Trenton Rd,WOODBOURNE RD & S OXFORD VALLEY RD,40.1685,-74.877537,1,,,,,1
28122,WOOBOVSO,Woodbourne Rd & Brist Oxf Val Rd - FS,WOODBOURNE RD & S OXFORD VALLEY RD,40.165423,-74.874161,1,,,,,1
28124,WOOCORSO,Woodbourne Rd & Cobalt Ridge Dr,WOODBOURNE RD & COBALT RIDGE DR N,40.159605,-74.868427,1,,,,,1
28126,WOOQUISO,Woodbourne Rd & Quincy Dr,WOODBOURNE RD & QUINCY DR,40.156479,-74.862151,1,,,,,1
28128,NEFREDNE,New Falls Rd & Red Cedar Dr,NEW FALLS RD & RED CEDAR DR,40.156915,-74.852033,1,,,,,1
28130,NEFWISNE,New Falls Rd & Wistar Rd - FS,NEW FALLS RD & WISTAR RD,40.160431,-74.847789,1,,,,,1
28131,NEFAPTNE,New Falls Rd & Appletree Pl,NEW FALLS RD & APPLETREE PL,40.162472,-74.845344,1,,,,,1
28141,BRIEDGSW,Bristol Pk & Edgley Rd,BRISTOL PIKE & EDGELY RD,40.128985,-74.834477,1,,,,,1
28143,BRIDAYSW,Bristol Pk & Airport Rd - MBFS,BRISTOL PIKE & PENNSYLVANIA CANAL,40.123201,-74.840113,1,,,,,1
28144,BRI276SW,Bristol Pk & I276,BRISTOL PIKE & PENNSYLVANIA CANAL,40.121264,-74.842011,1,,,,,1
28146,GREWILSO,Green Ln & Wilson Av,GREEN LN & WILSON AVE,40.113902,-74.840509,1,,,,,1
28149,GREFARSO,Green Ln & Farragut Av,GREEN LN & E FARRAGUT AVE,40.110409,-74.837827,1,,,,,1
28155,PONLINSW,Pond St & Lincoln St,POND ST & LINCOLN AVE,40.103181,-74.847934,1,,,,,1
28156,PONJEFSW,Pond St & Jefferson Av,POND ST & JEFFERSON AVE,40.102465,-74.849289,1,,,,,1
28157,JEFWOOSO,Jefferson Av & Wood St,JEFFERSON AVE & WOOD ST,40.100952,-74.848319,1,,,,,1
